strYMDH,Time,Wind_Speed_in_kts,Wind_Gust_in_kts,Wind_Direction_in_deg,Visibility_in_mi,Precipitation_in_in,Precipitation_Type,Temperature,Dew_Point,Altimeter_in_in_H
2008-04-10 06,'2008-04-10 06:51 am CST,17,22,70,3,0.03,rain,39.2,35.6,30.1
2008-04-10 07,'2008-04-10 07:51 am CST,21,M,70,4,0.02,light rain,39.2,35.6,30.07
2008-04-10 08,'2008-04-10 08:51 am CST,20,26,60,4,0,light rain,39.2,35.6,30.01
2008-04-10 09,'2008-04-10 09:51 am CST,18,26,70,5,0.01,light rain,39.2,37.4,30
2008-04-10 10,'2008-04-10 10:51 am CST,16,M,80,4,0.02,light rain,39.2,37.4,29.96
2008-04-10 11,'2008-04-10 11:51 am CST,20,26,80,2,0.09,rain,41,39.2,29.91
2008-04-10 24,'2008-04-10 12:51 pm CST,25,35,90,2,0.09,light rain,42.8,39.2,29.8
2008-04-10 13,'2008-04-10 01:51 pm CST,23,30,100,2,0.07,rain,42.8,41,29.79
2008-04-10 14,'2008-04-10 02:51 pm CST,12,M,80,3,0.07,light rain,44.6,42.8,29.74
2008-04-10 15,'2008-04-10 03:51 pm CST,12,M,60,3,0.08,light rain,42.8,42.8,29.71
2008-04-10 16,'2008-04-10 04:51 pm CST,10,M,70,2,0.1,light rain,42.8,42.8,29.69
2008-04-10 17,'2008-04-10 05:51 pm CST,,M,,,,M,,,
2008-04-10 18,'2008-04-10 06:51 pm CST,14,M,80,2,0.1,light rain,44.6,42.8,29.63
2008-04-10 19,'2008-04-10 07:51 pm CST,14,20,70,2,0,mist,46.4,44.6,29.6
2008-04-10 20,'2008-04-10 08:51 pm CST,12,M,70,2,0,mist,44.6,44.6,29.58
2008-04-10 21,'2008-04-10 09:51 pm CST,12,M,90,4,0,mist,48.2,46.4,29.53
2008-04-10 22,'2008-04-10 10:51 pm CST,5,M,150,5,0,mist,53.6,50,29.53
2008-04-10 23,'2008-04-10 11:51 pm CST,12,M,90,4,0.02,mist,51.8,48.2,29.51
2008-04-11 00,'2008-04-11 12:51 am CST,6,M,,4,0,mist,53.6,50,29.5
2008-04-11 01,'2008-04-11 01:51 am CST,8,M,50,3,0,mist,50,48.2,29.49
2008-04-11 02,'2008-04-11 02:51 am CST,8,M,50,2,0,mist,48.2,46.4,29.47
2008-04-11 03,'2008-04-11 03:51 am CST,3,M,140,1,0,mist,48.2,48.2,29.45
2008-04-11 04,'2008-04-11 04:51 am CST,8,M,140,2,0,mist,50,48.2,29.44
2008-04-11 05,'2008-04-11 05:51 am CST,12,M,160,10,0,none,55.4,51.8,29.43
2008-04-11 06,'2008-04-11 06:51 am CST,13,M,170,10,0,none,55.4,51.8,29.42
2008-04-11 07,'2008-04-11 07:51 am CST,24,31,190,10,0,none,60.8,51.8,29.4
2008-04-11 08,'2008-04-11 08:51 am CST,21,31,200,10,0,none,62.6,51.8,29.37
2008-04-11 09,'2008-04-11 09:51 am CST,21,38,250,10,0,rain,57.2,46.4,29.37
2008-04-11 10,'2008-04-11 10:51 am CST,22,33,230,10,0,none,53.6,39.2,29.39
2008-04-11 11,'2008-04-11 11:51 am CST,22,30,230,10,0,none,53.6,37.4,29.41
2008-04-11 24,'2008-04-11 12:51 pm CST,16,28,250,10,0,none,50,35.6,29.41
2008-04-11 13,'2008-04-11 01:51 pm CST,16,25,240,10,0,none,50,35.6,29.42
2008-04-11 14,'2008-04-11 02:51 pm CST,17,33,230,10,0,none,48.2,35.6,29.43
2008-04-11 15,'2008-04-11 03:51 pm CST,22,32,220,10,0,light rain,48.2,35.6,29.44
2008-04-11 16,'2008-04-11 04:51 pm CST,16,28,250,10,0,light rain,46.4,35.6,29.46
2008-04-11 17,'2008-04-11 05:51 pm CST,15,23,240,10,0,light rain,44.6,37.4,29.48
2008-04-11 18,'2008-04-11 06:51 pm CST,14,M,220,9,0.03,light rain,41,37.4,29.49
2008-04-11 19,'2008-04-11 07:51 pm CST,13,M,220,10,0,light rain,42.8,37.4,29.5
2008-04-11 20,'2008-04-11 08:51 pm CST,16,25,230,10,0,light rain,41,35.6,29.5
2008-04-11 21,'2008-04-11 09:51 pm CST,17,23,220,10,0,light rain,41,35.6,29.49
2008-04-11 22,'2008-04-11 10:51 pm CST,15,23,230,8,0,light rain,39.2,37.4,29.49
2008-04-11 23,'2008-04-11 11:51 pm CST,15,23,230,8,0,light rain,39.2,37.4,29.49
2008-04-12 00,'2008-04-12 12:51 am CST,17,24,230,8,0,rain,39.2,37.4,29.49
2008-04-12 01,'2008-04-12 01:51 am CST,12,20,240,5,0.01,light rain,39.2,37.4,29.49
2008-04-12 02,'2008-04-12 02:51 am CST,9,M,240,10,0.01,rain,39.2,37.4,29.49
2008-04-12 03,'2008-04-12 03:51 am CST,13,21,240,9,0,light rain,39.2,35.6,29.49
2008-04-12 04,'2008-04-12 04:51 am CST,12,M,240,8,0.02,light rain,39.2,35.6,29.49
2008-04-12 05,'2008-04-12 05:51 am CST,9,M,240,7,0.01,light rain,37.4,33.8,29.5
2008-04-12 06,'2008-04-12 06:51 am CST,6,M,220,5,0.01,light rain,37.4,35.6,29.51
2008-04-12 07,'2008-04-12 07:51 am CST,8,M,250,6,0.01,light rain,37.4,33.8,29.52
2008-04-12 08,'2008-04-12 08:51 am CST,8,M,270,7,0,light rain,37.4,35.6,29.54
2008-04-12 09,'2008-04-12 09:51 am CST,14,M,280,9,0.01,light rain,37.4,35.6,29.57
2008-04-12 10,'2008-04-12 10:51 am CST,12,M,300,9,0.02,light rain,39.2,37.4,29.6
2008-04-12 11,'2008-04-12 11:51 am CST,9,M,270,7,0.01,light rain,41,37.4,29.61
2008-04-12 24,'2008-04-12 12:51 pm CST,7,M,40,6,0.03,light rain,41,37.4,29.64
2008-04-12 13,'2008-04-12 01:51 pm CST,10,M,360,10,0,light rain,41,35.6,29.68
2008-04-12 14,'2008-04-12 02:51 pm CST,14,23,360,8,0,light rain,37.4,35.6,29.71
2008-04-12 15,'2008-04-12 03:51 pm CST,12,M,350,10,0.01,light rain,39.2,35.6,29.74
2008-04-12 16,'2008-04-12 04:51 pm CST,15,M,360,10,0,light rain,37.4,33.8,29.78
2008-04-12 17,'2008-04-12 05:51 pm CST,15,22,360,10,0,rain,37.4,32,29.81
2008-04-12 18,'2008-04-12 06:51 pm CST,16,26,360,10,0,none,35.6,30.2,29.84
2008-04-12 19,'2008-04-12 07:51 pm CST,16,21,360,8,0,light rain,35.6,30.2,29.86
2008-04-12 20,'2008-04-12 08:51 pm CST,13,M,330,6,0,light snow,33.8,30.2,29.87
2008-04-12 21,'2008-04-12 09:51 pm CST,15,20,350,7,0.01,light snow,33.8,32,29.88
2008-04-12 22,'2008-04-12 10:51 pm CST,12,M,350,5,0.02,light snow,33.8,32,29.88
2008-04-12 23,'2008-04-12 11:51 pm CST,9,M,350,3,0.04,light snow,33.8,32,29.89
2008-04-13 00,'2008-04-13 12:51 am CST,10,M,360,5,0.02,light snow,33.8,32,29.89
2008-04-13 01,'2008-04-13 01:51 am CST,15,M,20,9,0.02,light snow,35.6,33.8,29.89
2008-04-13 02,'2008-04-13 02:51 am CST,14,23,20,10,0,rain snow,35.6,32,29.9
2008-04-13 03,'2008-04-13 03:51 am CST,14,M,20,10,0,none,35.6,32,29.92
2008-04-13 04,'2008-04-13 04:51 am CST,14,M,20,10,0,none,35.6,32,29.94
2008-04-13 05,'2008-04-13 05:51 am CST,16,M,20,10,0,light drizzle,35.6,30.2,29.97
2008-04-13 06,'2008-04-13 06:51 am CST,15,21,20,10,0,drizzle rain,35.6,30.2,30
2008-04-13 07,'2008-04-13 07:51 am CST,21,25,20,10,0,none,37.4,30.2,30.02
2008-04-13 08,'2008-04-13 08:51 am CST,17,M,20,10,0,none,37.4,28.4,30.05
2008-04-13 09,'2008-04-13 09:51 am CST,21,32,20,10,0,none,39.2,28.4,30.07
2008-04-13 10,'2008-04-13 10:51 am CST,18,24,50,10,0,none,42.8,30.2,30.08
2008-04-13 11,'2008-04-13 11:51 am CST,17,26,50,10,0,none,39.2,26.6,30.09
2008-04-13 24,'2008-04-13 12:51 pm CST,21,26,40,10,0,none,39.2,28.4,30.09
2008-04-13 13,'2008-04-13 01:51 pm CST,20,29,30,10,0,none,39.2,26.6,30.1
2008-04-13 14,'2008-04-13 02:51 pm CST,16,32,40,10,0,none,39.2,26.6,30.12
2008-04-13 15,'2008-04-13 03:51 pm CST,18,M,40,10,0,none,39.2,26.6,30.13
2008-04-13 16,'2008-04-13 04:51 pm CST,14,M,20,10,0,none,39.2,28.4,30.15
2008-04-13 17,'2008-04-13 05:51 pm CST,14,M,360,10,0,none,37.4,24.8,30.16
2008-04-13 18,'2008-04-13 06:51 pm CST,12,M,10,10,0,none,37.4,23,30.16
2008-04-13 19,'2008-04-13 07:51 pm CST,13,M,10,10,0,none,35.6,24.8,30.18
2008-04-13 20,'2008-04-13 08:51 pm CST,8,M,10,10,0,none,33.8,26.6,30.18
2008-04-13 21,'2008-04-13 09:51 pm CST,5,M,350,10,0,none,33.8,26.6,30.18
2008-04-13 22,'2008-04-13 10:51 pm CST,6,M,330,10,0,none,33.8,26.6,30.18
2008-04-13 23,'2008-04-13 11:51 pm CST,7,M,360,10,0,none,33.8,26.6,30.18
2008-04-14 00,'2008-04-14 12:51 am CST,6,M,360,10,0,none,33.8,26.6,30.17
2008-04-14 01,'2008-04-14 01:51 am CST,7,M,350,10,0,none,33.8,26.6,30.17
2008-04-14 02,'2008-04-14 02:51 am CST,7,M,10,10,0,none,33.8,28.4,30.19
2008-04-14 03,'2008-04-14 03:51 am CST,7,M,360,10,0,none,33.8,28.4,30.2
2008-04-14 04,'2008-04-14 04:51 am CST,6,M,360,10,0,none,33.8,28.4,30.22
2008-04-14 05,'2008-04-14 05:51 am CST,5,M,350,10,0,none,33.8,28.4,30.24
2008-04-14 06,'2008-04-14 06:51 am CST,8,M,30,10,0,none,37.4,30.2,30.26
2008-04-14 07,'2008-04-14 07:51 am CST,8,18,30,10,0,none,39.2,30.2,30.28
2008-04-14 08,'2008-04-14 08:51 am CST,10,M,30,10,0,none,42.8,30.2,30.3
2008-04-14 09,'2008-04-14 09:51 am CST,8,M,40,10,0,none,44.6,30.2,30.3
2008-04-14 10,'2008-04-14 10:51 am CST,9,M,20,10,0,none,46.4,28.4,30.29
2008-04-14 11,'2008-04-14 11:51 am CST,8,M,360,10,0,none,46.4,23,30.29
2008-04-14 24,'2008-04-14 12:51 pm CST,6,M,40,10,0,none,48.2,23,30.28
2008-04-14 13,'2008-04-14 01:51 pm CST,8,M,30,10,0,none,48.2,21.2,30.28
2008-04-14 14,'2008-04-14 02:51 pm CST,9,M,40,10,0,none,50,21.2,30.27
2008-04-14 15,'2008-04-14 03:51 pm CST,9,M,60,10,0,none,48.2,19.4,30.26
2008-04-14 16,'2008-04-14 04:51 pm CST,9,M,70,10,0,none,48.2,17.6,30.26
2008-04-14 17,'2008-04-14 05:51 pm CST,9,M,60,10,0,none,46.4,15.8,30.25
2008-04-14 18,'2008-04-14 06:51 pm CST,6,M,90,10,0,none,42.8,15.8,30.25
2008-04-14 19,'2008-04-14 07:51 pm CST,6,M,100,10,0,none,42.8,15.8,30.26
2008-04-14 20,'2008-04-14 08:51 pm CST,6,M,150,10,0,none,37.4,19.4,30.27
2008-04-14 21,'2008-04-14 09:51 pm CST,5,M,180,10,0,none,37.4,24.8,30.27
2008-04-14 22,'2008-04-14 10:51 pm CST,0,M,0,10,0,none,35.6,24.8,30.27
2008-04-14 23,'2008-04-14 11:51 pm CST,3,M,230,10,0,none,35.6,23,30.27
2008-04-15 00,'2008-04-15 12:51 am CST,0,M,0,10,0,none,35.6,21.2,30.27
2008-04-15 01,'2008-04-15 01:51 am CST,0,M,0,10,0,none,33.8,21.2,30.25
2008-04-15 02,'2008-04-15 02:51 am CST,0,M,0,10,0,none,32,23,30.24
2008-04-15 03,'2008-04-15 03:51 am CST,0,M,0,10,0,none,30.2,21.2,30.25
2008-04-15 04,'2008-04-15 04:51 am CST,0,M,0,10,0,none,32,21.2,30.25
2008-04-15 05,'2008-04-15 05:51 am CST,5,M,220,10,0,none,33.8,23,30.27
2008-04-15 06,'2008-04-15 06:51 am CST,10,M,210,10,0,none,39.2,24.8,30.28
2008-04-15 07,'2008-04-15 07:51 am CST,12,M,210,10,0,none,44.6,26.6,30.28
2008-04-15 08,'2008-04-15 08:51 am CST,14,M,230,10,0,none,48.2,28.4,30.27
2008-04-15 09,'2008-04-15 09:51 am CST,20,M,210,10,0,none,51.8,28.4,30.25
2008-04-15 10,'2008-04-15 10:51 am CST,20,24,220,10,0,none,53.6,30.2,30.22
2008-04-15 11,'2008-04-15 11:51 am CST,21,30,210,10,0,none,55.4,30.2,30.19
2008-04-15 24,'2008-04-15 12:51 pm CST,18,29,220,10,0,none,57.2,30.2,30.16
2008-04-15 13,'2008-04-15 01:51 pm CST,22,30,190,10,0,none,57.2,30.2,30.13
2008-04-15 14,'2008-04-15 02:51 pm CST,23,29,220,10,0,none,59,30.2,30.1
2008-04-15 15,'2008-04-15 03:51 pm CST,21,31,210,10,0,none,59,30.2,30.08
2008-04-15 16,'2008-04-15 04:51 pm CST,18,26,190,10,0,none,57.2,30.2,30.05
2008-04-15 17,'2008-04-15 05:51 pm CST,20,29,180,10,0,none,55.4,28.4,30.03
2008-04-15 18,'2008-04-15 06:51 pm CST,17,26,190,10,0,none,53.6,30.2,30.02
2008-04-15 19,'2008-04-15 07:51 pm CST,18,30,190,10,0,none,51.8,30.2,30.01
2008-04-15 20,'2008-04-15 08:51 pm CST,18,25,200,10,0,none,51.8,32,30.03
2008-04-15 21,'2008-04-15 09:51 pm CST,18,M,190,10,0,none,50,30.2,30.02
2008-04-15 22,'2008-04-15 10:51 pm CST,18,29,190,10,0,none,48.2,30.2,30
2008-04-15 23,'2008-04-15 11:51 pm CST,18,26,190,10,0,none,48.2,32,29.99
2008-04-16 00,'2008-04-16 12:51 am CST,21,29,200,10,0,none,48.2,30.2,29.97
2008-04-16 01,'2008-04-16 01:51 am CST,20,29,200,10,0,none,48.2,30.2,29.96
2008-04-16 02,'2008-04-16 02:51 am CST,18,25,200,10,0,none,46.4,30.2,29.95
2008-04-16 03,'2008-04-16 03:51 am CST,15,24,190,10,0,none,46.4,32,29.96
2008-04-16 04,'2008-04-16 04:51 am CST,14,M,190,10,0,none,44.6,32,29.96
2008-04-16 05,'2008-04-16 05:51 am CST,14,M,190,10,0,none,46.4,32,29.97
2008-04-16 06,'2008-04-16 06:51 am CST,17,25,200,10,0,none,48.2,33.8,29.98
2008-04-16 07,'2008-04-16 07:51 am CST,17,30,200,10,0,none,51.8,33.8,29.96
2008-04-16 08,'2008-04-16 08:51 am CST,18,28,190,10,0,none,55.4,35.6,29.93
2008-04-16 09,'2008-04-16 09:51 am CST,23,32,190,10,0,none,62.6,35.6,29.91
2008-04-16 10,'2008-04-16 10:51 am CST,26,36,190,10,0,none,64.4,35.6,29.9
2008-04-16 11,'2008-04-16 11:51 am CST,22,31,190,10,0,none,69.8,37.4,29.88
2008-04-16 24,'2008-04-16 12:51 pm CST,31,39,180,10,0,none,71.6,37.4,29.83
2008-04-16 13,'2008-04-16 01:51 pm CST,31,39,180,10,0,none,71.6,37.4,29.81
2008-04-16 14,'2008-04-16 02:51 pm CST,30,43,190,10,0,none,71.6,39.2,29.78
2008-04-16 15,'2008-04-16 03:51 pm CST,31,44,180,10,0,none,71.6,39.2,29.78
2008-04-16 16,'2008-04-16 04:51 pm CST,29,37,200,10,0,none,68,39.2,29.81
2008-04-16 17,'2008-04-16 05:51 pm CST,22,28,190,10,0,none,66.2,39.2,29.83
2008-04-16 18,'2008-04-16 06:51 pm CST,22,31,200,10,0,none,64.4,39.2,29.86
2008-04-16 19,'2008-04-16 07:51 pm CST,22,33,200,10,0,none,62.6,39.2,29.89
2008-04-16 20,'2008-04-16 08:51 pm CST,21,31,200,10,0,none,62.6,39.2,29.91
2008-04-16 21,'2008-04-16 09:51 pm CST,18,26,200,10,0,none,60.8,39.2,29.92
2008-04-16 22,'2008-04-16 10:51 pm CST,18,28,210,10,0,none,60.8,39.2,29.93
2008-04-16 23,'2008-04-16 11:51 pm CST,17,31,210,10,0,none,59,39.2,29.92
2008-04-17 00,'2008-04-17 12:51 am CST,14,22,210,10,0,none,57.2,39.2,29.91
2008-04-17 01,'2008-04-17 01:51 am CST,15,M,210,10,0,none,55.4,39.2,29.91
2008-04-17 02,'2008-04-17 02:51 am CST,16,M,210,10,0,none,55.4,39.2,29.9
2008-04-17 03,'2008-04-17 03:51 am CST,8,M,240,10,0,none,55.4,39.2,29.91
2008-04-17 04,'2008-04-17 04:51 am CST,5,M,200,10,0,none,53.6,41,29.92
2008-04-17 05,'2008-04-17 05:51 am CST,5,M,220,10,0,none,53.6,42.8,29.94
2008-04-17 06,'2008-04-17 06:51 am CST,8,M,190,10,0,none,55.4,42.8,29.97
2008-04-17 07,'2008-04-17 07:51 am CST,8,M,200,10,0,none,57.2,42.8,29.98
2008-04-17 08,'2008-04-17 08:51 am CST,8,M,210,10,0,none,57.2,42.8,29.98
2008-04-17 09,'2008-04-17 09:51 am CST,9,M,200,10,0,none,62.6,44.6,29.99
2008-04-17 10,'2008-04-17 10:51 am CST,3,M,,10,0,none,64.4,42.8,29.96
2008-04-17 11,'2008-04-17 11:51 am CST,6,M,190,10,0,none,66.2,44.6,29.97
2008-04-17 24,'2008-04-17 12:51 pm CST,14,21,50,10,0,none,66.2,44.6,29.95
2008-04-17 13,'2008-04-17 01:51 pm CST,12,M,60,10,0,none,64.4,44.6,29.95
2008-04-17 14,'2008-04-17 02:51 pm CST,12,M,50,10,0,none,64.4,44.6,29.92
2008-04-17 15,'2008-04-17 03:51 pm CST,12,M,60,10,0,none,64.4,44.6,29.91
2008-04-17 16,'2008-04-17 04:51 pm CST,12,M,50,10,0,none,60.8,42.8,29.9
2008-04-17 17,'2008-04-17 05:51 pm CST,9,M,60,10,0,none,53.6,41,29.91
2008-04-17 18,'2008-04-17 06:51 pm CST,9,M,70,10,0,none,50,39.2,29.92
2008-04-17 19,'2008-04-17 07:51 pm CST,8,M,50,10,0,none,46.4,39.2,29.95
2008-04-17 20,'2008-04-17 08:51 pm CST,6,M,60,10,0,none,44.6,37.4,29.95
2008-04-17 21,'2008-04-17 09:51 pm CST,3,M,50,10,0,none,46.4,39.2,29.93
2008-04-17 22,'2008-04-17 10:51 pm CST,5,M,10,10,0,none,46.4,39.2,29.93
2008-04-17 23,'2008-04-17 11:51 pm CST,5,M,100,10,0,none,46.4,39.2,29.91
2008-04-18 00,'2008-04-18 12:51 am CST,0,M,0,10,0,none,46.4,39.2,29.9
2008-04-18 01,'2008-04-18 01:51 am CST,0,M,0,10,0,none,46.4,39.2,29.88
2008-04-18 02,'2008-04-18 02:51 am CST,5,M,20,10,0,none,46.4,39.2,29.87
2008-04-18 03,'2008-04-18 03:51 am CST,0,M,0,10,0,none,46.4,41,29.88
2008-04-18 04,'2008-04-18 04:51 am CST,0,M,0,10,0,none,48.2,41,29.88
2008-04-18 05,'2008-04-18 05:51 am CST,3,M,30,10,0,none,50,42.8,29.89
2008-04-18 06,'2008-04-18 06:51 am CST,7,M,40,10,0,none,51.8,42.8,29.9
2008-04-18 07,'2008-04-18 07:51 am CST,5,M,40,10,0,none,53.6,42.8,29.89
2008-04-18 08,'2008-04-18 08:51 am CST,7,M,40,10,0,none,59,44.6,29.88
2008-04-18 09,'2008-04-18 09:51 am CST,15,24,190,10,0,none,68,50,29.86
2008-04-18 10,'2008-04-18 10:51 am CST,18,26,200,10,0,none,71.6,51.8,29.84
2008-04-18 11,'2008-04-18 11:51 am CST,21,M,200,10,0,none,71.6,51.8,29.82
2008-04-18 24,'2008-04-18 12:51 pm CST,20,30,180,10,0,none,73.4,48.2,29.8
2008-04-18 13,'2008-04-18 01:51 pm CST,20,M,180,10,0,none,71.6,48.2,29.79
2008-04-18 14,'2008-04-18 02:51 pm CST,21,29,180,10,0,none,73.4,48.2,29.77
2008-04-18 15,'2008-04-18 03:51 pm CST,22,29,180,10,0,none,71.6,48.2,29.76
2008-04-18 16,'2008-04-18 04:51 pm CST,20,26,160,10,0,none,69.8,46.4,29.76
2008-04-18 17,'2008-04-18 05:51 pm CST,13,M,180,10,0,none,69.8,44.6,29.76
2008-04-18 18,'2008-04-18 06:51 pm CST,12,M,180,10,0,none,66.2,44.6,29.77
2008-04-18 19,'2008-04-18 07:51 pm CST,15,25,180,10,0,none,66.2,48.2,29.79
2008-04-18 20,'2008-04-18 08:51 pm CST,7,M,120,10,0,rain,62.6,51.8,29.77
2008-04-18 21,'2008-04-18 09:51 pm CST,7,M,180,10,0,none,62.6,51.8,29.77
2008-04-18 22,'2008-04-18 10:51 pm CST,9,M,170,10,0,rain,60.8,51.8,29.77
2008-04-18 23,'2008-04-18 11:51 pm CST,12,M,160,10,0,none,59,51.8,29.76
2008-04-19 00,'2008-04-19 12:51 am CST,9,M,170,10,0,rain,57.2,50,29.75
2008-04-19 01,'2008-04-19 01:51 am CST,8,M,170,10,0,rain,57.2,50,29.75
2008-04-19 02,'2008-04-19 02:51 am CST,5,M,160,10,0.01,light rain,55.4,51.8,29.74
2008-04-19 03,'2008-04-19 03:51 am CST,0,M,0,10,0.01,rain,55.4,51.8,29.75
2008-04-19 04,'2008-04-19 04:51 am CST,3,M,60,5,0.04,light rain,53.6,51.8,29.77
2008-04-19 05,'2008-04-19 05:51 am CST,5,M,80,2,0,mist,53.6,51.8,29.78
2008-04-19 06,'2008-04-19 06:51 am CST,3,M,70,7,0,rain,55.4,53.6,29.79
2008-04-19 07,'2008-04-19 07:51 am CST,5,M,60,7,0,none,55.4,53.6,29.8
2008-04-19 08,'2008-04-19 08:51 am CST,7,M,60,7,0,light rain,57.2,53.6,29.8
2008-04-19 09,'2008-04-19 09:51 am CST,9,M,80,9,0,rain,57.2,51.8,29.81
2008-04-19 10,'2008-04-19 10:51 am CST,6,M,110,10,0,none,60.8,50,29.81
2008-04-19 11,'2008-04-19 11:51 am CST,8,M,60,10,0,none,60.8,50,29.81
2008-04-19 24,'2008-04-19 12:51 pm CST,8,M,60,10,0,none,64.4,48.2,29.8
2008-04-19 13,'2008-04-19 01:51 pm CST,12,M,60,10,0,none,62.6,50,29.81
2008-04-19 14,'2008-04-19 02:51 pm CST,7,M,70,10,0,none,60.8,51.8,29.81
2008-04-19 15,'2008-04-19 03:51 pm CST,9,M,70,10,0,none,60.8,51.8,29.83
2008-04-19 16,'2008-04-19 04:51 pm CST,8,M,70,9,0,light rain,57.2,51.8,29.86
2008-04-19 17,'2008-04-19 05:51 pm CST,6,M,40,6,0,haze,55.4,51.8,29.87
2008-04-19 18,'2008-04-19 06:51 pm CST,5,M,70,6,0,haze,55.4,51.8,29.87
2008-04-19 19,'2008-04-19 07:51 pm CST,6,M,30,6,0,haze,53.6,48.2,29.88
2008-04-19 20,'2008-04-19 08:51 pm CST,5,M,20,9,0,none,53.6,46.4,29.89
2008-04-19 21,'2008-04-19 09:51 pm CST,3,M,290,9,0,none,51.8,44.6,29.87
2008-04-19 22,'2008-04-19 10:51 pm CST,3,M,210,6,0,haze,50,44.6,29.86
2008-04-19 23,'2008-04-19 11:51 pm CST,0,M,0,4,0,mist,48.2,44.6,29.87
2008-04-20 00,'2008-04-20 12:51 am CST,0,M,0,4,0,mist,50,46.4,29.87
2008-04-20 01,'2008-04-20 01:51 am CST,5,M,10,4,0,mist,50,46.4,29.87
2008-04-20 02,'2008-04-20 02:51 am CST,3,M,360,4,0,mist,50,46.4,29.88
2008-04-20 03,'2008-04-20 03:51 am CST,3,M,50,7,0,none,48.2,42.8,29.88
2008-04-20 04,'2008-04-20 04:51 am CST,6,M,50,10,0,none,46.4,41,29.89
2008-04-20 05,'2008-04-20 05:51 am CST,3,M,320,10,0,none,46.4,42.8,29.91
2008-04-20 06,'2008-04-20 06:51 am CST,6,M,360,10,0,none,51.8,42.8,29.93
2008-04-20 07,'2008-04-20 07:51 am CST,6,M,30,10,0,none,53.6,44.6,29.92
2008-04-20 08,'2008-04-20 08:51 am CST,3,M,70,10,0,none,57.2,44.6,29.92
2008-04-20 09,'2008-04-20 09:51 am CST,5,M,,10,0,none,62.6,46.4,29.93
2008-04-20 10,'2008-04-20 10:51 am CST,3,M,300,10,0,none,66.2,46.4,29.92
2008-04-20 11,'2008-04-20 11:51 am CST,5,M,330,10,0,none,69.8,46.4,29.91
2008-04-20 24,'2008-04-20 12:51 pm CST,10,M,60,10,0,none,68,46.4,29.91
2008-04-20 13,'2008-04-20 01:51 pm CST,10,18,60,10,0,none,66.2,46.4,29.92
2008-04-20 14,'2008-04-20 02:51 pm CST,8,17,40,10,0,none,66.2,44.6,29.91
2008-04-20 15,'2008-04-20 03:51 pm CST,10,22,50,10,0,none,60.8,42.8,29.93
2008-04-20 16,'2008-04-20 04:51 pm CST,8,M,40,10,0,none,64.4,42.8,29.92
2008-04-20 17,'2008-04-20 05:51 pm CST,9,M,50,10,0,none,62.6,42.8,29.93
2008-04-20 18,'2008-04-20 06:51 pm CST,6,M,30,10,0,none,60.8,41,29.94
2008-04-20 19,'2008-04-20 07:51 pm CST,5,M,,10,0,none,57.2,41,29.94
2008-04-20 20,'2008-04-20 08:51 pm CST,6,M,,10,0,none,55.4,41,29.95
2008-04-20 21,'2008-04-20 09:51 pm CST,6,M,40,10,0,none,48.2,39.2,29.96
2008-04-20 22,'2008-04-20 10:51 pm CST,6,M,50,10,0,none,48.2,39.2,29.97
2008-04-20 23,'2008-04-20 11:51 pm CST,3,M,40,10,0,none,46.4,39.2,29.98
2008-04-21 00,'2008-04-21 12:51 am CST,3,M,50,10,0,none,46.4,39.2,29.98
2008-04-21 01,'2008-04-21 01:51 am CST,3,M,10,10,0,none,46.4,39.2,29.98
2008-04-21 02,'2008-04-21 02:51 am CST,0,M,0,10,0,none,46.4,39.2,29.99
2008-04-21 03,'2008-04-21 03:51 am CST,3,M,10,10,0,none,46.4,39.2,30
2008-04-21 04,'2008-04-21 04:51 am CST,5,M,50,10,0,none,44.6,39.2,30.01
2008-04-21 05,'2008-04-21 05:51 am CST,0,M,0,9,0,none,46.4,39.2,30.03
2008-04-21 06,'2008-04-21 06:51 am CST,0,M,0,9,0,none,50,42.8,30.06
2008-04-21 07,'2008-04-21 07:51 am CST,3,M,190,7,0,none,55.4,42.8,30.05
2008-04-21 08,'2008-04-21 08:51 am CST,3,M,80,6,0,haze,62.6,46.4,30.05
2008-04-21 09,'2008-04-21 09:51 am CST,5,M,,6,0,haze,66.2,48.2,30.05
2008-04-21 10,'2008-04-21 10:51 am CST,8,M,170,8,0,none,69.8,51.8,30.04
2008-04-21 11,'2008-04-21 11:51 am CST,8,M,170,10,0,none,71.6,51.8,30.03
2008-04-21 24,'2008-04-21 12:51 pm CST,9,M,160,10,0,none,73.4,51.8,30.02
2008-04-21 13,'2008-04-21 01:51 pm CST,8,18,180,10,0,none,75.2,51.8,30.01
2008-04-21 14,'2008-04-21 02:51 pm CST,10,M,170,10,0,none,73.4,51.8,30
2008-04-21 15,'2008-04-21 03:51 pm CST,13,M,120,10,0,none,71.6,53.6,30
2008-04-21 16,'2008-04-21 04:51 pm CST,15,M,120,9,0,none,71.6,53.6,30
2008-04-21 17,'2008-04-21 05:51 pm CST,12,M,130,9,0,none,69.8,53.6,29.99
2008-04-21 18,'2008-04-21 06:51 pm CST,15,M,130,6,0,haze,66.2,53.6,30
2008-04-21 19,'2008-04-21 07:51 pm CST,10,M,140,6,0,haze,62.6,51.8,30.01
2008-04-21 20,'2008-04-21 08:51 pm CST,8,M,130,6,0,haze,62.6,51.8,30.02
2008-04-21 21,'2008-04-21 09:51 pm CST,7,M,130,5,0,haze,57.2,51.8,30.04
